,original_summary,token,Porter_Stemmer,WordNet_Lemmatizer
8874,seems pretty accurate - a must for strong players,"['seems', 'pretty', 'accurate', '-', 'a', 'must', 'for', 'strong', 'players']","['seem', 'pretti', 'accur', '-', 'a', 'must', 'for', 'strong', 'player']","['seems', 'pretty', 'accurate', '-', 'a', 'must', 'for', 'strong', 'player']"
8875,Great Little Tuner,"['Great', 'Little', 'Tuner']","['great', 'littl', 'tuner']","['Great', 'Little', 'Tuner']"
8876,This works and it's cheap on Amazon.,"['This', 'works', 'and', 'it', ""'s"", 'cheap', 'on', 'Amazon', '.']","['thi', 'work', 'and', 'it', ""'s"", 'cheap', 'on', 'amazon', '.']","['This', 'work', 'and', 'it', ""'s"", 'cheap', 'on', 'Amazon', '.']"
8877,worth the money,"['worth', 'the', 'money']","['worth', 'the', 'money']","['worth', 'the', 'money']"
8878,Quick and easy,"['Quick', 'and', 'easy']","['quick', 'and', 'easi']","['Quick', 'and', 'easy']"
8879,Easy to use,"['Easy', 'to', 'use']","['easi', 'to', 'use']","['Easy', 'to', 'use']"
8880,Best tuner!,"['Best', 'tuner', '!']","['best', 'tuner', '!']","['Best', 'tuner', '!']"
8881,Great,['Great'],['great'],['Great']
8882,More than guitars and bass,"['More', 'than', 'guitars', 'and', 'bass']","['more', 'than', 'guitar', 'and', 'bass']","['More', 'than', 'guitar', 'and', 'bass']"
8883,Great Tool,"['Great', 'Tool']","['great', 'tool']","['Great', 'Tool']"
8884,Awesome...,"['Awesome', '...']","['awesom', '...']","['Awesome', '...']"
8885,nice tuner,"['nice', 'tuner']","['nice', 'tuner']","['nice', 'tuner']"
8886,Not on my bass,"['Not', 'on', 'my', 'bass']","['not', 'on', 'my', 'bass']","['Not', 'on', 'my', 'bass']"
8887,Does the job right.,"['Does', 'the', 'job', 'right', '.']","['doe', 'the', 'job', 'right', '.']","['Does', 'the', 'job', 'right', '.']"
8888,"I like it, but the black rubber already came up!","['I', 'like', 'it', ',', 'but', 'the', 'black', 'rubber', 'already', 'came', 'up', '!']","['i', 'like', 'it', ',', 'but', 'the', 'black', 'rubber', 'alreadi', 'came', 'up', '!']","['I', 'like', 'it', ',', 'but', 'the', 'black', 'rubber', 'already', 'came', 'up', '!']"
8889,Snark SN-5 - a great little tuner,"['Snark', 'SN-5', '-', 'a', 'great', 'little', 'tuner']","['snark', 'sn-5', '-', 'a', 'great', 'littl', 'tuner']","['Snark', 'SN-5', '-', 'a', 'great', 'little', 'tuner']"
8890,Snark SN5 for bass & violin,"['Snark', 'SN5', 'for', 'bass', '&', 'violin']","['snark', 'sn5', 'for', 'bass', '&', 'violin']","['Snark', 'SN5', 'for', 'bass', '&', 'violin']"
8891,I Like It,"['I', 'Like', 'It']","['i', 'like', 'it']","['I', 'Like', 'It']"
8892,Tuning your guitar made simple,"['Tuning', 'your', 'guitar', 'made', 'simple']","['tune', 'your', 'guitar', 'made', 'simpl']","['Tuning', 'your', 'guitar', 'made', 'simple']"
8893,Great little guitar tuner,"['Great', 'little', 'guitar', 'tuner']","['great', 'littl', 'guitar', 'tuner']","['Great', 'little', 'guitar', 'tuner']"
8894,"Works well, but a little slow","['Works', 'well', ',', 'but', 'a', 'little', 'slow']","['work', 'well', ',', 'but', 'a', 'littl', 'slow']","['Works', 'well', ',', 'but', 'a', 'little', 'slow']"
8895,Good tuner,"['Good', 'tuner']","['good', 'tuner']","['Good', 'tuner']"
8896,Simply excellent,"['Simply', 'excellent']","['simpli', 'excel']","['Simply', 'excellent']"
8897,Never be out of tune again.,"['Never', 'be', 'out', 'of', 'tune', 'again', '.']","['never', 'be', 'out', 'of', 'tune', 'again', '.']","['Never', 'be', 'out', 'of', 'tune', 'again', '.']"
8898,Works nice.,"['Works', 'nice', '.']","['work', 'nice', '.']","['Works', 'nice', '.']"
8899,Snark SN-5,"['Snark', 'SN-5']","['snark', 'sn-5']","['Snark', 'SN-5']"
8900,Inconsistent Accuracy,"['Inconsistent', 'Accuracy']","['inconsist', 'accuraci']","['Inconsistent', 'Accuracy']"
8901,Snark tuner.,"['Snark', 'tuner', '.']","['snark', 'tuner', '.']","['Snark', 'tuner', '.']"
8902,Fantastic Tuner! A must have!,"['Fantastic', 'Tuner', '!', 'A', 'must', 'have', '!']","['fantast', 'tuner', '!', 'a', 'must', 'have', '!']","['Fantastic', 'Tuner', '!', 'A', 'must', 'have', '!']"
8903,A+,['A+'],['a+'],['A+']
8904,Great tuner,"['Great', 'tuner']","['great', 'tuner']","['Great', 'tuner']"
8905,"Great tuner, but battery doesn't last so long","['Great', 'tuner', ',', 'but', 'battery', 'does', ""n't"", 'last', 'so', 'long']","['great', 'tuner', ',', 'but', 'batteri', 'doe', ""n't"", 'last', 'so', 'long']","['Great', 'tuner', ',', 'but', 'battery', 'doe', ""n't"", 'last', 'so', 'long']"
8906,Worst tuner I've ever used,"['Worst', 'tuner', 'I', ""'ve"", 'ever', 'used']","['worst', 'tuner', 'i', ""'ve"", 'ever', 'use']","['Worst', 'tuner', 'I', ""'ve"", 'ever', 'used']"
8907,Bought 6 at once for 6$,"['Bought', '6', 'at', 'once', 'for', '6', '$']","['bought', '6', 'at', 'onc', 'for', '6', '$']","['Bought', '6', 'at', 'once', 'for', '6', '$']"
8908,"compact and inexpensive, the Snark SN5 is terrific, if you have the right kind of finish...","['compact', 'and', 'inexpensive', ',', 'the', 'Snark', 'SN5', 'is', 'terrific', ',', 'if', 'you', 'have', 'the', 'right', 'kind', 'of', 'finish', '...']","['compact', 'and', 'inexpens', ',', 'the', 'snark', 'sn5', 'is', 'terrif', ',', 'if', 'you', 'have', 'the', 'right', 'kind', 'of', 'finish', '...']","['compact', 'and', 'inexpensive', ',', 'the', 'Snark', 'SN5', 'is', 'terrific', ',', 'if', 'you', 'have', 'the', 'right', 'kind', 'of', 'finish', '...']"
8909,awesome tuner,"['awesome', 'tuner']","['awesom', 'tuner']","['awesome', 'tuner']"
8910,Spot On Tuning,"['Spot', 'On', 'Tuning']","['spot', 'on', 'tune']","['Spot', 'On', 'Tuning']"
8911,tuner,['tuner'],['tuner'],['tuner']
8912,It's been a good tuner for me.,"['It', ""'s"", 'been', 'a', 'good', 'tuner', 'for', 'me', '.']","['it', ""'s"", 'been', 'a', 'good', 'tuner', 'for', 'me', '.']","['It', ""'s"", 'been', 'a', 'good', 'tuner', 'for', 'me', '.']"
8913,Great Little Tuner,"['Great', 'Little', 'Tuner']","['great', 'littl', 'tuner']","['Great', 'Little', 'Tuner']"
8914,Snark-2 versus Snark-6,"['Snark-2', 'versus', 'Snark-6']","['snark-2', 'versu', 'snark-6']","['Snark-2', 'versus', 'Snark-6']"
8915,Best tuner for my Ukulele,"['Best', 'tuner', 'for', 'my', 'Ukulele']","['best', 'tuner', 'for', 'my', 'ukulel']","['Best', 'tuner', 'for', 'my', 'Ukulele']"
8916,A product that becomes indispensable from the first time you use it.,"['A', 'product', 'that', 'becomes', 'indispensable', 'from', 'the', 'first', 'time', 'you', 'use', 'it', '.']","['a', 'product', 'that', 'becom', 'indispens', 'from', 'the', 'first', 'time', 'you', 'use', 'it', '.']","['A', 'product', 'that', 'becomes', 'indispensable', 'from', 'the', 'first', 'time', 'you', 'use', 'it', '.']"
8917,Snark Tuner,"['Snark', 'Tuner']","['snark', 'tuner']","['Snark', 'Tuner']"
8918,Great tuner; can't beat the price!,"['Great', 'tuner', ';', 'ca', ""n't"", 'beat', 'the', 'price', '!']","['great', 'tuner', ';', 'ca', ""n't"", 'beat', 'the', 'price', '!']","['Great', 'tuner', ';', 'ca', ""n't"", 'beat', 'the', 'price', '!']"
8919,Great Little Tuner,"['Great', 'Little', 'Tuner']","['great', 'littl', 'tuner']","['Great', 'Little', 'Tuner']"
8920,Snark makes better tuners than this,"['Snark', 'makes', 'better', 'tuners', 'than', 'this']","['snark', 'make', 'better', 'tuner', 'than', 'thi']","['Snark', 'make', 'better', 'tuner', 'than', 'this']"
8921,Excellent tuner,"['Excellent', 'tuner']","['excel', 'tuner']","['Excellent', 'tuner']"
8922,I use it for guitar bass uke,"['I', 'use', 'it', 'for', 'guitar', 'bass', 'uke']","['i', 'use', 'it', 'for', 'guitar', 'bass', 'uke']","['I', 'use', 'it', 'for', 'guitar', 'bass', 'uke']"
8923,Great!,"['Great', '!']","['great', '!']","['Great', '!']"
8924,love it.,"['love', 'it', '.']","['love', 'it', '.']","['love', 'it', '.']"
8925,The only uke tuner worth owning?,"['The', 'only', 'uke', 'tuner', 'worth', 'owning', '?']","['the', 'onli', 'uke', 'tuner', 'worth', 'own', '?']","['The', 'only', 'uke', 'tuner', 'worth', 'owning', '?']"
8926,Great Tuner,"['Great', 'Tuner']","['great', 'tuner']","['Great', 'Tuner']"
8927,A+++,['A+++'],['a+++'],['A+++']
8928,Great!!!,"['Great', '!', '!', '!']","['great', '!', '!', '!']","['Great', '!', '!', '!']"
8929,THE SNARK UKULELE TUNER IS A DELIGHT TO USE,"['THE', 'SNARK', 'UKULELE', 'TUNER', 'IS', 'A', 'DELIGHT', 'TO', 'USE']","['the', 'snark', 'ukulel', 'tuner', 'is', 'a', 'delight', 'to', 'use']","['THE', 'SNARK', 'UKULELE', 'TUNER', 'IS', 'A', 'DELIGHT', 'TO', 'USE']"
8930,Easy Reader,"['Easy', 'Reader']","['easi', 'reader']","['Easy', 'Reader']"
8931,"This is a chromatic tuner - no ""ukulele"" tuning mode.","['This', 'is', 'a', 'chromatic', 'tuner', '-', 'no', '``', 'ukulele', ""''"", 'tuning', 'mode', '.']","['thi', 'is', 'a', 'chromat', 'tuner', '-', 'no', '``', 'ukulel', ""''"", 'tune', 'mode', '.']","['This', 'is', 'a', 'chromatic', 'tuner', '-', 'no', '``', 'ukulele', ""''"", 'tuning', 'mode', '.']"
8932,What a bargain!,"['What', 'a', 'bargain', '!']","['what', 'a', 'bargain', '!']","['What', 'a', 'bargain', '!']"
8933,Perfect tool for its purpose,"['Perfect', 'tool', 'for', 'its', 'purpose']","['perfect', 'tool', 'for', 'it', 'purpos']","['Perfect', 'tool', 'for', 'it', 'purpose']"
8934,Love the snark,"['Love', 'the', 'snark']","['love', 'the', 'snark']","['Love', 'the', 'snark']"
8935,A must have for a new Uku player!,"['A', 'must', 'have', 'for', 'a', 'new', 'Uku', 'player', '!']","['a', 'must', 'have', 'for', 'a', 'new', 'uku', 'player', '!']","['A', 'must', 'have', 'for', 'a', 'new', 'Uku', 'player', '!']"
8936,Hard to Beat for the Price but High Defect Rate,"['Hard', 'to', 'Beat', 'for', 'the', 'Price', 'but', 'High', 'Defect', 'Rate']","['hard', 'to', 'beat', 'for', 'the', 'price', 'but', 'high', 'defect', 'rate']","['Hard', 'to', 'Beat', 'for', 'the', 'Price', 'but', 'High', 'Defect', 'Rate']"
8937,A Must-Have,"['A', 'Must-Have']","['a', 'must-hav']","['A', 'Must-Have']"
8938,PERFECT!!!!!!!!!!,"['PERFECT', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!']","['perfect', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!']","['PERFECT', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!']"
8939,Apogee Jam vs. iRiffport,"['Apogee', 'Jam', 'vs.', 'iRiffport']","['apoge', 'jam', 'vs.', 'iriffport']","['Apogee', 'Jam', 'vs.', 'iRiffport']"
8940,"Old 30 pin connector makes this thing worthless, $54 to get one","['Old', '30', 'pin', 'connector', 'makes', 'this', 'thing', 'worthless', ',', '$', '54', 'to', 'get', 'one']","['old', '30', 'pin', 'connector', 'make', 'thi', 'thing', 'worthless', ',', '$', '54', 'to', 'get', 'one']","['Old', '30', 'pin', 'connector', 'make', 'this', 'thing', 'worthless', ',', '$', '54', 'to', 'get', 'one']"
8941,The input jack is too loose,"['The', 'input', 'jack', 'is', 'too', 'loose']","['the', 'input', 'jack', 'is', 'too', 'loos']","['The', 'input', 'jack', 'is', 'too', 'loose']"
8942,Easy hook-up and sounds great,"['Easy', 'hook-up', 'and', 'sounds', 'great']","['easi', 'hook-up', 'and', 'sound', 'great']","['Easy', 'hook-up', 'and', 'sound', 'great']"
8943,If you're at all serious about recording guitar...pick this up!,"['If', 'you', ""'re"", 'at', 'all', 'serious', 'about', 'recording', 'guitar', '...', 'pick', 'this', 'up', '!']","['if', 'you', ""'re"", 'at', 'all', 'seriou', 'about', 'record', 'guitar', '...', 'pick', 'thi', 'up', '!']","['If', 'you', ""'re"", 'at', 'all', 'serious', 'about', 'recording', 'guitar', '...', 'pick', 'this', 'up', '!']"
8944,"My iPhone 4S was not compatible, ended up returning it.","['My', 'iPhone', '4S', 'was', 'not', 'compatible', ',', 'ended', 'up', 'returning', 'it', '.']","['my', 'iphon', '4s', 'wa', 'not', 'compat', ',', 'end', 'up', 'return', 'it', '.']","['My', 'iPhone', '4S', 'wa', 'not', 'compatible', ',', 'ended', 'up', 'returning', 'it', '.']"
8945,Holy moly,"['Holy', 'moly']","['holi', 'moli']","['Holy', 'moly']"
8946,My go-to pedal tape,"['My', 'go-to', 'pedal', 'tape']","['my', 'go-to', 'pedal', 'tape']","['My', 'go-to', 'pedal', 'tape']"
8947,Bulky,['Bulky'],['bulki'],['Bulky']
8948,Forget the rest,"['Forget', 'the', 'rest']","['forget', 'the', 'rest']","['Forget', 'the', 'rest']"
8949,Best velcro out there!,"['Best', 'velcro', 'out', 'there', '!']","['best', 'velcro', 'out', 'there', '!']","['Best', 'velcro', 'out', 'there', '!']"
8950,"Grips well, great 'more permanent' alternative to velcro","['Grips', 'well', ',', 'great', ""'more"", 'permanent', ""'"", 'alternative', 'to', 'velcro']","['grip', 'well', ',', 'great', ""'more"", 'perman', ""'"", 'altern', 'to', 'velcro']","['Grips', 'well', ',', 'great', ""'more"", 'permanent', ""'"", 'alternative', 'to', 'velcro']"
8951,Very useful for a homemade pedal board.,"['Very', 'useful', 'for', 'a', 'homemade', 'pedal', 'board', '.']","['veri', 'use', 'for', 'a', 'homemad', 'pedal', 'board', '.']","['Very', 'useful', 'for', 'a', 'homemade', 'pedal', 'board', '.']"
8952,The velcro that is so strong that you can't even use it.,"['The', 'velcro', 'that', 'is', 'so', 'strong', 'that', 'you', 'ca', ""n't"", 'even', 'use', 'it', '.']","['the', 'velcro', 'that', 'is', 'so', 'strong', 'that', 'you', 'ca', ""n't"", 'even', 'use', 'it', '.']","['The', 'velcro', 'that', 'is', 'so', 'strong', 'that', 'you', 'ca', ""n't"", 'even', 'use', 'it', '.']"
8953,I wished for this!,"['I', 'wished', 'for', 'this', '!']","['i', 'wish', 'for', 'thi', '!']","['I', 'wished', 'for', 'this', '!']"
8954,Far Better Than Velcro,"['Far', 'Better', 'Than', 'Velcro']","['far', 'better', 'than', 'velcro']","['Far', 'Better', 'Than', 'Velcro']"
8955,Very Neat package!,"['Very', 'Neat', 'package', '!']","['veri', 'neat', 'packag', '!']","['Very', 'Neat', 'package', '!']"
8956,Great Package. It finally stayed in Tune after multiple adjustments,"['Great', 'Package', '.', 'It', 'finally', 'stayed', 'in', 'Tune', 'after', 'multiple', 'adjustments']","['great', 'packag', '.', 'it', 'final', 'stay', 'in', 'tune', 'after', 'multipl', 'adjust']","['Great', 'Package', '.', 'It', 'finally', 'stayed', 'in', 'Tune', 'after', 'multiple', 'adjustment']"
8957,great learning lesson poor instrument,"['great', 'learning', 'lesson', 'poor', 'instrument']","['great', 'learn', 'lesson', 'poor', 'instrument']","['great', 'learning', 'lesson', 'poor', 'instrument']"
8958,Good beginner instrument.,"['Good', 'beginner', 'instrument', '.']","['good', 'beginn', 'instrument', '.']","['Good', 'beginner', 'instrument', '.']"
8959,Great,['Great'],['great'],['Great']
8960,great starter,"['great', 'starter']","['great', 'starter']","['great', 'starter']"
8961,Perfect For Our Purpose,"['Perfect', 'For', 'Our', 'Purpose']","['perfect', 'for', 'our', 'purpos']","['Perfect', 'For', 'Our', 'Purpose']"
8962,Clean or dirty it sounds great!,"['Clean', 'or', 'dirty', 'it', 'sounds', 'great', '!']","['clean', 'or', 'dirti', 'it', 'sound', 'great', '!']","['Clean', 'or', 'dirty', 'it', 'sound', 'great', '!']"
8963,Loaded down the signal path,"['Loaded', 'down', 'the', 'signal', 'path']","['load', 'down', 'the', 'signal', 'path']","['Loaded', 'down', 'the', 'signal', 'path']"
8964,MXR Analog Chorus - Great effect!,"['MXR', 'Analog', 'Chorus', '-', 'Great', 'effect', '!']","['mxr', 'analog', 'choru', '-', 'great', 'effect', '!']","['MXR', 'Analog', 'Chorus', '-', 'Great', 'effect', '!']"
8965,"Good price, warm rich chorus","['Good', 'price', ',', 'warm', 'rich', 'chorus']","['good', 'price', ',', 'warm', 'rich', 'choru']","['Good', 'price', ',', 'warm', 'rich', 'chorus']"
8966,Super Lush and MUSICAL,"['Super', 'Lush', 'and', 'MUSICAL']","['super', 'lush', 'and', 'music']","['Super', 'Lush', 'and', 'MUSICAL']"
8967,I love this chorus pedal!,"['I', 'love', 'this', 'chorus', 'pedal', '!']","['i', 'love', 'thi', 'choru', 'pedal', '!']","['I', 'love', 'this', 'chorus', 'pedal', '!']"
8968,Very Cool,"['Very', 'Cool']","['veri', 'cool']","['Very', 'Cool']"
8969,Plug and Play Simple - For Most Microphones,"['Plug', 'and', 'Play', 'Simple', '-', 'For', 'Most', 'Microphones']","['plug', 'and', 'play', 'simpl', '-', 'for', 'most', 'microphon']","['Plug', 'and', 'Play', 'Simple', '-', 'For', 'Most', 'Microphones']"
8970,I HATE IT......,"['I', 'HATE', 'IT', '......']","['i', 'hate', 'it', '......']","['I', 'HATE', 'IT', '......']"
8971,"Simple, Super Quiet, USB Mic Interface","['Simple', ',', 'Super', 'Quiet', ',', 'USB', 'Mic', 'Interface']","['simpl', ',', 'super', 'quiet', ',', 'usb', 'mic', 'interfac']","['Simple', ',', 'Super', 'Quiet', ',', 'USB', 'Mic', 'Interface']"
8972,Not impressed.,"['Not', 'impressed', '.']","['not', 'impress', '.']","['Not', 'impressed', '.']"
8973,XLR adaptor,"['XLR', 'adaptor']","['xlr', 'adaptor']","['XLR', 'adaptor']"
8974,Most solid stand I've purchased,"['Most', 'solid', 'stand', 'I', ""'ve"", 'purchased']","['most', 'solid', 'stand', 'i', ""'ve"", 'purchas']","['Most', 'solid', 'stand', 'I', ""'ve"", 'purchased']"
8975,Great product and price,"['Great', 'product', 'and', 'price']","['great', 'product', 'and', 'price']","['Great', 'product', 'and', 'price']"
8976,As cheap as the come...,"['As', 'cheap', 'as', 'the', 'come', '...']","['as', 'cheap', 'as', 'the', 'come', '...']","['As', 'cheap', 'a', 'the', 'come', '...']"
8977,7 Multi Guitar Bass Folding Stand,"['7', 'Multi', 'Guitar', 'Bass', 'Folding', 'Stand']","['7', 'multi', 'guitar', 'bass', 'fold', 'stand']","['7', 'Multi', 'Guitar', 'Bass', 'Folding', 'Stand']"
8978,Gotta Trust The Physics,"['Got', 'ta', 'Trust', 'The', 'Physics']","['got', 'ta', 'trust', 'the', 'physic']","['Got', 'ta', 'Trust', 'The', 'Physics']"
8979,7 Guitar Stand,"['7', 'Guitar', 'Stand']","['7', 'guitar', 'stand']","['7', 'Guitar', 'Stand']"
8980,Great,['Great'],['great'],['Great']
8981,multi guitar stand,"['multi', 'guitar', 'stand']","['multi', 'guitar', 'stand']","['multi', 'guitar', 'stand']"
8982,Defective,['Defective'],['defect'],['Defective']
8983,"It works and the price is right, but...","['It', 'works', 'and', 'the', 'price', 'is', 'right', ',', 'but', '...']","['it', 'work', 'and', 'the', 'price', 'is', 'right', ',', 'but', '...']","['It', 'work', 'and', 'the', 'price', 'is', 'right', ',', 'but', '...']"
8984,Never enough stands,"['Never', 'enough', 'stands']","['never', 'enough', 'stand']","['Never', 'enough', 'stand']"
8985,Five Stars,"['Five', 'Stars']","['five', 'star']","['Five', 'Stars']"
8986,Pretty Decent,"['Pretty', 'Decent']","['pretti', 'decent']","['Pretty', 'Decent']"
8987,Ease of picking which to play,"['Ease', 'of', 'picking', 'which', 'to', 'play']","['eas', 'of', 'pick', 'which', 'to', 'play']","['Ease', 'of', 'picking', 'which', 'to', 'play']"
8988,Flimsy!,"['Flimsy', '!']","['flimsi', '!']","['Flimsy', '!']"
8989,Very helpful tool for learning,"['Very', 'helpful', 'tool', 'for', 'learning']","['veri', 'help', 'tool', 'for', 'learn']","['Very', 'helpful', 'tool', 'for', 'learning']"
8990,"Don't Fret Position Indicator for 4/4 Violin or 14"" Viola","['Do', ""n't"", 'Fret', 'Position', 'Indicator', 'for', '4/4', 'Violin', 'or', '14', ""''"", 'Viola']","['do', ""n't"", 'fret', 'posit', 'indic', 'for', '4/4', 'violin', 'or', '14', ""''"", 'viola']","['Do', ""n't"", 'Fret', 'Position', 'Indicator', 'for', '4/4', 'Violin', 'or', '14', ""''"", 'Viola']"
8991,pretty cool,"['pretty', 'cool']","['pretti', 'cool']","['pretty', 'cool']"
8992,Make sure you have metric measuring device,"['Make', 'sure', 'you', 'have', 'metric', 'measuring', 'device']","['make', 'sure', 'you', 'have', 'metric', 'measur', 'devic']","['Make', 'sure', 'you', 'have', 'metric', 'measuring', 'device']"
8993,Violin Finger Positioning guide,"['Violin', 'Finger', 'Positioning', 'guide']","['violin', 'finger', 'posit', 'guid']","['Violin', 'Finger', 'Positioning', 'guide']"
8994,Great mandolin pick for tremelo playing!,"['Great', 'mandolin', 'pick', 'for', 'tremelo', 'playing', '!']","['great', 'mandolin', 'pick', 'for', 'tremelo', 'play', '!']","['Great', 'mandolin', 'pick', 'for', 'tremelo', 'playing', '!']"
8995,Consider Your Technique And The Tone You're After,"['Consider', 'Your', 'Technique', 'And', 'The', 'Tone', 'You', ""'re"", 'After']","['consid', 'your', 'techniqu', 'and', 'the', 'tone', 'you', ""'re"", 'after']","['Consider', 'Your', 'Technique', 'And', 'The', 'Tone', 'You', ""'re"", 'After']"
8996,Right Pick for the Job,"['Right', 'Pick', 'for', 'the', 'Job']","['right', 'pick', 'for', 'the', 'job']","['Right', 'Pick', 'for', 'the', 'Job']"
8997,"Heavy, solid, good grip!","['Heavy', ',', 'solid', ',', 'good', 'grip', '!']","['heavi', ',', 'solid', ',', 'good', 'grip', '!']","['Heavy', ',', 'solid', ',', 'good', 'grip', '!']"
8998,GREAT mandolin pick,"['GREAT', 'mandolin', 'pick']","['great', 'mandolin', 'pick']","['GREAT', 'mandolin', 'pick']"
8999,Amazing!,"['Amazing', '!']","['amaz', '!']","['Amazing', '!']"
9000,Not bad for starters.,"['Not', 'bad', 'for', 'starters', '.']","['not', 'bad', 'for', 'starter', '.']","['Not', 'bad', 'for', 'starter', '.']"
9001,Epiphone Les Paul Acoustic/Electric Ukulele,"['Epiphone', 'Les', 'Paul', 'Acoustic/Electric', 'Ukulele']","['epiphon', 'le', 'paul', 'acoustic/electr', 'ukulel']","['Epiphone', 'Les', 'Paul', 'Acoustic/Electric', 'Ukulele']"
9002,A HUNDRED DOLLARS WORTH OF FUN,"['A', 'HUNDRED', 'DOLLARS', 'WORTH', 'OF', 'FUN']","['a', 'hundr', 'dollar', 'worth', 'of', 'fun']","['A', 'HUNDRED', 'DOLLARS', 'WORTH', 'OF', 'FUN']"
9003,Nice Ukulele: Too bad it's defective. Gibson quality control shouldn't have missed. Otherwise I would give it a 4-Star Rating.,"['Nice', 'Ukulele', ':', 'Too', 'bad', 'it', ""'s"", 'defective', '.', 'Gibson', 'quality', 'control', 'should', ""n't"", 'have', 'missed', '.', 'Otherwise', 'I', 'would', 'give', 'it', 'a', '4-Star', 'Rating', '.']","['nice', 'ukulel', ':', 'too', 'bad', 'it', ""'s"", 'defect', '.', 'gibson', 'qualiti', 'control', 'should', ""n't"", 'have', 'miss', '.', 'otherwis', 'i', 'would', 'give', 'it', 'a', '4-star', 'rate', '.']","['Nice', 'Ukulele', ':', 'Too', 'bad', 'it', ""'s"", 'defective', '.', 'Gibson', 'quality', 'control', 'should', ""n't"", 'have', 'missed', '.', 'Otherwise', 'I', 'would', 'give', 'it', 'a', '4-Star', 'Rating', '.']"
9004,amazing ukulele!,"['amazing', 'ukulele', '!']","['amaz', 'ukulel', '!']","['amazing', 'ukulele', '!']"
9005,"Precision, Accuracy an a work of art","['Precision', ',', 'Accuracy', 'an', 'a', 'work', 'of', 'art']","['precis', ',', 'accuraci', 'an', 'a', 'work', 'of', 'art']","['Precision', ',', 'Accuracy', 'an', 'a', 'work', 'of', 'art']"
9006,Nice Uke.  Had a problem that was taken care of quickly.,"['Nice', 'Uke', '.', 'Had', 'a', 'problem', 'that', 'was', 'taken', 'care', 'of', 'quickly', '.']","['nice', 'uke', '.', 'had', 'a', 'problem', 'that', 'wa', 'taken', 'care', 'of', 'quickli', '.']","['Nice', 'Uke', '.', 'Had', 'a', 'problem', 'that', 'wa', 'taken', 'care', 'of', 'quickly', '.']"
9007,Handy starter pics,"['Handy', 'starter', 'pics']","['handi', 'starter', 'pic']","['Handy', 'starter', 'pic']"
9008,perfect picks,"['perfect', 'picks']","['perfect', 'pick']","['perfect', 'pick']"
9009,Nice variety,"['Nice', 'variety']","['nice', 'varieti']","['Nice', 'variety']"
9010,Every pick you'll ever need,"['Every', 'pick', 'you', ""'ll"", 'ever', 'need']","['everi', 'pick', 'you', ""'ll"", 'ever', 'need']","['Every', 'pick', 'you', ""'ll"", 'ever', 'need']"
9011,Nice variety.,"['Nice', 'variety', '.']","['nice', 'varieti', '.']","['Nice', 'variety', '.']"
9012,Great Selection,"['Great', 'Selection']","['great', 'select']","['Great', 'Selection']"
9013,They do what they do,"['They', 'do', 'what', 'they', 'do']","['they', 'do', 'what', 'they', 'do']","['They', 'do', 'what', 'they', 'do']"
9014,Good product.,"['Good', 'product', '.']","['good', 'product', '.']","['Good', 'product', '.']"
9015,great assortment or picks,"['great', 'assortment', 'or', 'picks']","['great', 'assort', 'or', 'pick']","['great', 'assortment', 'or', 'pick']"
9016,Good variety of pics to figure out just what you're looking for.,"['Good', 'variety', 'of', 'pics', 'to', 'figure', 'out', 'just', 'what', 'you', ""'re"", 'looking', 'for', '.']","['good', 'varieti', 'of', 'pic', 'to', 'figur', 'out', 'just', 'what', 'you', ""'re"", 'look', 'for', '.']","['Good', 'variety', 'of', 'pic', 'to', 'figure', 'out', 'just', 'what', 'you', ""'re"", 'looking', 'for', '.']"
9017,"sure, for trying out others...","['sure', ',', 'for', 'trying', 'out', 'others', '...']","['sure', ',', 'for', 'tri', 'out', 'other', '...']","['sure', ',', 'for', 'trying', 'out', 'others', '...']"
9018,Cool variety,"['Cool', 'variety']","['cool', 'varieti']","['Cool', 'variety']"
9019,gUITAR pICKS,"['gUITAR', 'pICKS']","['guitar', 'pick']","['gUITAR', 'pICKS']"
9020,Good for price,"['Good', 'for', 'price']","['good', 'for', 'price']","['Good', 'for', 'price']"
9021,An awesome guitar!,"['An', 'awesome', 'guitar', '!']","['an', 'awesom', 'guitar', '!']","['An', 'awesome', 'guitar', '!']"
9022,Great Guitar,"['Great', 'Guitar']","['great', 'guitar']","['Great', 'Guitar']"
9023,Pretty good!,"['Pretty', 'good', '!']","['pretti', 'good', '!']","['Pretty', 'good', '!']"
9024,Best bang for the buck,"['Best', 'bang', 'for', 'the', 'buck']","['best', 'bang', 'for', 'the', 'buck']","['Best', 'bang', 'for', 'the', 'buck']"
9025,Great guitar for the price,"['Great', 'guitar', 'for', 'the', 'price']","['great', 'guitar', 'for', 'the', 'price']","['Great', 'guitar', 'for', 'the', 'price']"
9026,Use for Bass guitar very pleased,"['Use', 'for', 'Bass', 'guitar', 'very', 'pleased']","['use', 'for', 'bass', 'guitar', 'veri', 'pleas']","['Use', 'for', 'Bass', 'guitar', 'very', 'pleased']"
